nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature3	mshuffle
18	20	0	1	4	0.2	5	222	0	-4.83E-03	1.22E+08	7.14E+07	0	4617928704	0.05	0	2.80E-01	0	2.38E+00	0.8
19	22	0	1	4	0.2	7	223	0	-6.25E-02	1.22E+08	7.14E+07	0	4617928704	0.04545454545	0	2.82E-01	0	3.17E+00	0.8
20	19	0	1	4	0.4	1	224	0	2.81E-01	1.22E+08	7.14E+07	0	4617928704	0.05263157895	0	4.38E-01	0	1.41E+00	0.8
21	21	0	1	4	0.4	3	225	0	-7.70E-02	1.22E+08	7.14E+07	0	4617928704	0.04761904762	0	4.63E-01	0	2.80E+00	0.8
22	23	0	1	4	0.4	5	226	0	-1.96E-01	1.22E+08	7.14E+07	0	4617928704	0.04347826087	0	4.72E-01	0	4.18E+00	0.8
23	24	0	1	4	0.4	7	227	0	-2.56E-01	1.22E+08	7.14E+07	0	4617928704	0.04166666667	0	4.76E-01	0	5.57E+00	0.8
24	32	0	1	4	0.6	1	228	0	1.06E-01	1.22E+08	7.14E+07	0	4617928704	0.03125	0	6.13E-01	0	2.01E+00	0.8
25	24	0	1	4	0.6	3	229	0	-2.65E-01	1.22E+08	7.14E+07	0	4617928704	0.04166666667	0	6.51E-01	0	4.00E+00	0.8
26	26	0	1	4	0.6	5	230	0	-3.88E-01	1.22E+08	7.14E+07	0	4617928704	0.03846153846	0	6.63E-01	0	5.98E+00	0.8
27	28	0	1	4	0.6	7	231	0	-4.50E-01	1.22E+08	7.14E+07	0	4617928704	0.03571428571	0	6.70E-01	0	7.97E+00	0.8
28	80	0	1	4	0.8	1	232	0	-6.87E-02	1.22E+08	7.14E+07	0	4617928704	0.0125	0	7.88E-01	0	2.61E+00	0.8
29	80	0	1	4	0.8	3	233	0	-4.52E-01	1.22E+08	7.14E+07	0	4617928704	0.0125	0	8.38E-01	0	5.20E+00	0.8
30	80	0	1	4	0.8	5	234	0	-5.80E-01	1.22E+08	7.14E+07	0	4617928704	0.0125	0	8.55E-01	0	7.78E+00	0.8
31	37	0	1	4	0.8	7	235	0	-6.44E-01	1.22E+08	7.14E+07	0	4617928704	0.02702702703	0	8.63E-01	0	1.04E+01	0.8
32	15	0	1	6	0.2	1	236	0	2.94E-01	1.22E+08	7.14E+07	0	4617928704	0.06666666667	0	2.94E-01	0	9.18E-01	0.8
33	16	0	1	6	0.2	3	237	0	7.95E-02	1.22E+08	7.14E+07	0	4617928704	0.0625	0	3.07E-01	0	1.79E+00	0.8
34	17	0	1	6	0.2	5	238	0	-3.57E-02	1.22E+08	7.14E+07	0	4617928704	0.05882352941	0	3.11E-01	0	2.67E+00	0.8
35	18	0	1	6	0.2	7	239	0	-9.34E-02	1.22E+08	7.14E+07	0	4617928704	0.05555555556	0	3.13E-01	0	3.55E+00	0.8
36	17	0	1	6	0.4	1	240	0	2.50E-01	1.22E+08	7.14E+07	0	4617928704	0.05882352941	0	4.69E-01	0	1.52E+00	0.8
37	19	0	1	6	0.4	3	241	0	-1.08E-01	1.22E+08	7.14E+07	0	4617928704	0.05263157895	0	4.94E-01	0	2.99E+00	0.8
38	22	0	1	6	0.4	5	242	0	-2.27E-01	1.22E+08	7.14E+07	0	4617928704	0.04545454545	0	5.03E-01	0	4.47E+00	0.8
39	21	0	1	6	0.4	7	243	0	-2.87E-01	1.22E+08	7.14E+07	0	4617928704	0.04761904762	0	5.07E-01	0	5.95E+00	0.8
40	26	0	1	6	0.6	1	244	0	7.54E-02	1.22E+08	7.14E+07	0	4617928704	0.03846153846	0	6.44E-01	0	2.12E+00	0.8
41	24	0	1	6	0.6	3	245	0	-2.95E-01	1.22E+08	7.14E+07	0	4617928704	0.04166666667	0	6.82E-01	0	4.19E+00	0.8
42	23	0	1	6	0.6	5	246	0	-4.19E-01	1.22E+08	7.14E+07	0	4617928704	0.04347826087	0	6.94E-01	0	6.27E+00	0.8
43	24	0	1	6	0.6	7	247	0	-4.81E-01	1.22E+08	7.14E+07	0	4617928704	0.04166666667	0	7.00E-01	0	8.35E+00	0.8
44	80	0	1	6	0.8	1	248	0	-9.96E-02	1.22E+08	7.14E+07	0	4617928704	0.0125	0	8.19E-01	0	2.72E+00	0.8
