nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma	feature1	feature2	feature3	mshuffle
71	20	0	2	1	0.4	7	501	0	4.76E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	4.76E-01	2.15E+00	0	0
72	17	0	2	1	0.6	1	502	0	4.48E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0	6.13E-01	1.73E+00	0	0
73	16	0	2	1	0.6	3	503	0	6.51E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0625	0	6.51E-01	1.44E+00	0	0
74	17	0	2	1	0.6	5	504	0	6.63E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0	6.63E-01	1.43E+00	0	0
75	16	0	2	1	0.6	7	505	0	6.70E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0625	0	6.70E-01	1.43E+00	0	0
76	20	0	2	1	0.8	1	506	0	2.73E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	7.88E-01	1.73E+00	0	0
77	14	2	2	1	0.8	3	507	1.75	7.23E-01	1.33E+08	7.14E+07	0.8	2308964352	0.07142857143	0.007936507937	8.38E-01	1.15E+00	0	0
78	16	2	2	1	0.8	5	508	2	8.55E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0625	0.006944444444	8.55E-01	1.07E+00	0	0
79	17	4	2	1	0.8	7	509	4.25	8.63E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05882352941	0.01176470588	8.63E-01	1.07E+00	0	0
80	80	0	2	2	0.2	1	510	0	2.94E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0125	0	2.94E-01	4.33E+00	0	0
81	25	0	2	2	0.2	3	511	0	3.07E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04	0	3.07E-01	4.31E+00	0	0
82	27	2	2	2	0.2	5	512	3.375	3.11E-01	1.33E+08	7.14E+07	0.8	2308964352	0.03703703704	0.004115226337	3.11E-01	4.30E+00	0	0
83	28	1	2	2	0.2	7	513	1.75	3.13E-01	1.33E+08	7.14E+07	0.8	2308964352	0.03571428571	0.002100840336	3.13E-01	4.30E+00	0	0
84	20	0	2	2	0.4	1	514	0	4.69E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	4.69E-01	2.16E+00	0	0
85	20	0	2	2	0.4	3	515	0	4.94E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	4.94E-01	2.15E+00	0	0
86	22	0	2	2	0.4	5	516	0	5.03E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04545454545	0	5.03E-01	2.15E+00	0	0
87	23	0	2	2	0.4	7	517	0	5.07E-01	1.33E+08	7.14E+07	0.8	2308964352	0.04347826087	0	5.07E-01	2.15E+00	0	0
88	19	0	2	2	0.6	1	518	0	4.79E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05263157895	0	6.44E-01	1.73E+00	0	0
89	15	0	2	2	0.6	3	519	0	6.82E-01	1.33E+08	7.14E+07	0.8	2308964352	0.06666666667	0	6.82E-01	1.44E+00	0	0
90	16	0	2	2	0.6	5	520	0	6.94E-01	1.33E+08	7.14E+07	0.8	2308964352	0.0625	0	6.94E-01	1.43E+00	0	0
91	20	0	2	2	0.6	7	521	0	7.01E-01	1.33E+08	7.14E+07	0.8	2308964352	0.05	0	7.01E-01	1.43E+00	0	0
