nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap
81	25	0	2	2	0.2	3	511	0	3.07E-01	1.33E+08	7.14E+07	0.8	2308964352
82	27	2	2	2	0.2	5	512	3.375	3.11E-01	1.33E+08	7.14E+07	0.8	2308964352
83	28	1	2	2	0.2	7	513	1.75	3.13E-01	1.33E+08	7.14E+07	0.8	2308964352
84	20	0	2	2	0.4	1	514	0	4.69E-01	1.33E+08	7.14E+07	0.8	2308964352
85	20	0	2	2	0.4	3	515	0	4.94E-01	1.33E+08	7.14E+07	0.8	2308964352
86	22	0	2	2	0.4	5	516	0	5.03E-01	1.33E+08	7.14E+07	0.8	2308964352
87	23	0	2	2	0.4	7	517	0	5.07E-01	1.33E+08	7.14E+07	0.8	2308964352
88	19	0	2	2	0.6	1	518	0	4.79E-01	1.33E+08	7.14E+07	0.8	2308964352
89	15	0	2	2	0.6	3	519	0	6.82E-01	1.33E+08	7.14E+07	0.8	2308964352
90	16	0	2	2	0.6	5	520	0	6.94E-01	1.33E+08	7.14E+07	0.8	2308964352
91	20	0	2	2	0.6	7	521	0	7.01E-01	1.33E+08	7.14E+07	0.8	2308964352
92	24	1	2	2	0.8	1	522	1.5	3.04E-01	1.33E+08	7.14E+07	0.8	2308964352
93	11	1	2	2	0.8	3	523	0.6875	7.54E-01	1.33E+08	7.14E+07	0.8	2308964352
94	17	3	2	2	0.8	5	524	3.1875	8.86E-01	1.33E+08	7.14E+07	0.8	2308964352
95	12	3	2	2	0.8	7	525	2.25	8.94E-01	1.33E+08	7.14E+07	0.8	2308964352
96	80	0	2	3	0.2	1	526	0	3.25E-01	1.33E+08	7.14E+07	0.8	2308964352
97	80	0	2	3	0.2	3	527	0	3.38E-01	1.33E+08	7.14E+07	0.8	2308964352
98	80	0	2	3	0.2	5	528	0	3.42E-01	1.33E+08	7.14E+07	0.8	2308964352
99	80	0	2	3	0.2	7	529	0	3.44E-01	1.33E+08	7.14E+07	0.8	2308964352
100	19	0	2	3	0.4	1	530	0	5.00E-01	1.33E+08	7.14E+07	0.8	2308964352
101	20	1	2	3	0.4	3	531	1.25	5.25E-01	1.33E+08	7.14E+07	0.8	2308964352
102	23	0	2	3	0.4	5	532	0	5.34E-01	1.33E+08	7.14E+07	0.8	2308964352
103	23	0	2	3	0.4	7	533	0	5.38E-01	1.33E+08	7.14E+07	0.8	2308964352
104	22	0	2	3	0.6	1	534	0	5.10E-01	1.33E+08	7.14E+07	0.8	2308964352
105	17	0	2	3	0.6	3	535	0	7.13E-01	1.33E+08	7.14E+07	0.8	2308964352
106	20	0	2	3	0.6	5	536	0	7.25E-01	1.33E+08	7.14E+07	0.8	2308964352
107	19	1	2	3	0.6	7	537	1.1875	7.31E-01	1.33E+08	7.14E+07	0.8	2308964352
108	24	1	2	3	0.8	1	538	1.5	3.35E-01	1.33E+08	7.14E+07	0.8	2308964352
109	14	4	2	3	0.8	3	539	3.5	7.85E-01	1.33E+08	7.14E+07	0.8	2308964352
110	13	4	2	3	0.8	5	540	3.25	9.17E-01	1.33E+08	7.14E+07	0.8	2308964352
111	12	4	2	3	0.8	7	541	3	9.25E-01	1.33E+08	7.14E+07	0.8	2308964352
112	80	0	2	4	0.2	1	542	0	3.56E-01	1.33E+08	7.14E+07	0.8	2308964352
113	80	0	2	4	0.2	3	543	0	3.69E-01	1.33E+08	7.14E+07	0.8	2308964352
114	80	0	2	4	0.2	5	544	0	3.73E-01	1.33E+08	7.14E+07	0.8	2308964352
115	80	0	2	4	0.2	7	545	0	3.75E-01	1.33E+08	7.14E+07	0.8	2308964352
116	21	0	2	4	0.4	1	546	0	5.31E-01	1.33E+08	7.14E+07	0.8	2308964352
117	21	0	2	4	0.4	3	547	0	5.56E-01	1.33E+08	7.14E+07	0.8	2308964352
118	21	0	2	4	0.4	5	548	0	5.64E-01	1.33E+08	7.14E+07	0.8	2308964352
119	22	0	2	4	0.4	7	549	0	5.69E-01	1.33E+08	7.14E+07	0.8	2308964352
120	22	0	2	4	0.6	1	550	0	5.41E-01	1.33E+08	7.14E+07	0.8	2308964352
121	16	0	2	4	0.6	3	551	0	7.44E-01	1.33E+08	7.14E+07	0.8	2308964352
122	17	0	2	4	0.6	5	552	0	7.56E-01	1.33E+08	7.14E+07	0.8	2308964352
123	17	0	2	4	0.6	7	553	0	7.62E-01	1.33E+08	7.14E+07	0.8	2308964352
124	40	1	2	4	0.8	1	554	2.5	3.54E-01	1.33E+08	7.14E+07	0.8	2308964352
125	12	1	2	4	0.8	3	555	0.75	8.16E-01	1.33E+08	7.14E+07	0.8	2308964352
126	14	3	2	4	0.8	5	556	2.625	9.48E-01	1.33E+08	7.14E+07	0.8	2308964352
127	11	0	2	4	0.8	7	557	0	9.56E-01	1.33E+08	7.14E+07	0.8	2308964352
128	28	1	3	1	0.2	1	558	1.166666667	3.08E-01	1.33E+08	7.14E+07	0.8	1539309568
129	29	1	3	1	0.2	3	559	1.208333333	3.20E-01	1.33E+08	7.14E+07	0.8	1539309568
130	31	2	3	1	0.2	5	560	2.583333333	3.24E-01	1.33E+08	7.14E+07	0.8	1539309568
131	33	1	3	1	0.2	7	561	1.375	3.26E-01	1.33E+08	7.14E+07	0.8	1539309568
132	21	0	3	1	0.4	1	562	0	4.83E-01	1.33E+08	7.14E+07	0.8	1539309568
