nodeId	time	failures	numContainers	concurrency	cache	newratio	appId	sigma	U	minit	mtask	mcache	mheap	perf	perfsigma
72	2.2	0	2	1	0.6	1	697	0	1.78E-01	1.08E+08	2.27E+07	0.8	2308964352	0.4545454545	0
73	2	0	2	1	0.6	3	698	0	-1.92E-01	1.08E+08	2.27E+07	0.8	2308964352	0.5	0
74	2.3	0	2	1	0.6	5	699	0	-3.16E-01	1.08E+08	2.27E+07	0.8	2308964352	0.4347826087	0
75	3	0	2	1	0.6	7	700	0	-3.78E-01	1.08E+08	2.27E+07	0.8	2308964352	0.3333333333	0
76	2	0	2	1	0.8	1	701	0	3.45E-03	1.08E+08	2.27E+07	0.8	2308964352	0.5	0
77	2	0	2	1	0.8	3	702	0	-3.80E-01	1.08E+08	2.27E+07	0.8	2308964352	0.5	0
78	2	0	2	1	0.8	5	703	0	-5.08E-01	1.08E+08	2.27E+07	0.8	2308964352	0.5	0
79	2.2	0	2	1	0.8	7	704	0	-5.72E-01	1.08E+08	2.27E+07	0.8	2308964352	0.4545454545	0
80	1.6	0	2	2	0.2	1	705	0	2.41E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
81	1.6	0	2	2	0.2	3	706	0	1.73E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
82	1.6	0	2	2	0.2	5	707	0	5.75E-02	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
83	1.8	0	2	2	0.2	7	708	0	-1.17E-04	1.08E+08	2.27E+07	0.8	2308964352	0.5555555556	0
84	1.5	0	2	2	0.4	1	709	0	3.44E-01	1.08E+08	2.27E+07	0.8	2308964352	0.6666666667	0
85	1.6	0	2	2	0.4	3	710	0	-1.47E-02	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
86	1.6	0	2	2	0.4	5	711	0	-1.34E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
87	1.6	0	2	2	0.4	7	712	0	-1.94E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
88	1.6	0	2	2	0.6	1	713	0	1.69E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
89	1.6	0	2	2	0.6	3	714	0	-2.02E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
90	1.6	0	2	2	0.6	5	715	0	-3.26E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
91	1.6	0	2	2	0.6	7	716	0	-3.88E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
92	1.6	0	2	2	0.8	1	717	0	-6.37E-03	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
93	1.5	0	2	2	0.8	3	718	0	-3.90E-01	1.08E+08	2.27E+07	0.8	2308964352	0.6666666667	0
94	1.6	0	2	2	0.8	5	719	0	-5.17E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
95	1.8	0	2	2	0.8	7	720	0	-5.81E-01	1.08E+08	2.27E+07	0.8	2308964352	0.5555555556	0
96	1.5	0	2	3	0.2	1	721	0	2.51E-01	1.08E+08	2.27E+07	0.8	2308964352	0.6666666667	0
97	1.5	0	2	3	0.2	3	722	0	1.63E-01	1.08E+08	2.27E+07	0.8	2308964352	0.6666666667	0
98	1.5	0	2	3	0.2	5	723	0	4.77E-02	1.08E+08	2.27E+07	0.8	2308964352	0.6666666667	0
99	1.6	0	2	3	0.2	7	724	0	-9.93E-03	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
100	1.5	0	2	3	0.4	1	725	0	3.34E-01	1.08E+08	2.27E+07	0.8	2308964352	0.6666666667	0
101	1.7	0	2	3	0.4	3	726	0	-2.45E-02	1.08E+08	2.27E+07	0.8	2308964352	0.5882352941	0
102	1.8	0	2	3	0.4	5	727	0	-1.44E-01	1.08E+08	2.27E+07	0.8	2308964352	0.5555555556	0
103	1.6	0	2	3	0.4	7	728	0	-2.04E-01	1.08E+08	2.27E+07	0.8	2308964352	0.625	0
104	1.5	0	2	3	0.6	1	729	0	1.59E-01	1.08E+08	2.27E+07	0.8	2308964352	0.6666666667	0
105	1.5	0	2	3	0.6	3	730	0	-2.12E-01	1.08E+08	2.27E+07	0.8	2308964352	0.6666666667	0
